city_id,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,chibougamau,49.9168,-74.3659,46.02,29,0,12.66,CA,1684435051
142,touros,-5.1989,-35.4608,82.49,74,100,14.27,BR,1684434886
143,manokwari,-0.8667,134.0833,78.82,81,100,4.32,ID,1684435052
144,roma,43.2128,-75.4557,63.95,28,0,3.0,US,1684434832
145,antofagasta,-23.65,-70.4,65.48,74,21,9.01,CL,1684434995
146,palmer,42.1584,-72.3287,66.24,26,8,1.99,US,1684435053
147,xinqing,48.2333,129.5,44.29,65,66,3.74,CN,1684435054
148,alice springs,-23.7,133.8833,40.55,93,0,7.05,AU,1684435055
149,gornopravdinsk,60.05,69.9,46.09,58,52,5.08,RU,1684435055
150,passa quatro,-22.3903,-44.9667,65.98,61,0,3.47,BR,1684435056
151,hermanus,-34.4187,19.2345,56.21,72,3,5.99,ZA,1684435056
152,enewetak,11.3474,162.3373,81.23,72,92,17.36,MH,1684435056
153,stanley,54.868,-1.6985,58.69,69,20,9.22,GB,1684434862
154,thunder bay,48.4001,-89.3168,51.78,54,100,14.97,CA,1684434816
155,atafu village,-8.5421,-172.5159,83.66,78,45,15.41,TK,1684435058
156,oum hadjer,13.2954,19.6966,97.97,23,97,4.18,TD,1684435058
157,coquimbo,-29.9533,-71.3436,65.93,68,0,14.97,CL,1684434763
158,lupane,-18.9315,27.807,63.5,49,10,4.12,ZW,1684435059
159,dalnerechensk,45.9339,133.7225,49.66,63,0,3.44,RU,1684435059
160,tazovsky,67.4667,78.7,35.76,100,100,10.51,RU,1684435060
161,castillos,-34.1667,-53.8333,76.98,48,15,9.33,UY,1684435060
162,minas de marcona,-15.2119,-75.1103,66.65,61,2,16.26,PE,1684435061
163,codrington,-38.2667,141.9667,49.15,90,77,4.38,AU,1684435061
164,invercargill,-46.4,168.35,42.26,96,95,2.95,NZ,1684435061
165,xichang,27.8964,102.2634,62.29,92,55,3.69,CN,1684435062
166,klyuchi,52.2667,79.1667,47.07,47,100,12.64,RU,1684435062
167,yamada,39.4667,141.95,60.35,73,100,6.71,JP,1684435063
168,buka,40.8108,69.1986,66.87,58,86,2.24,UZ,1684435063
169,south grafton,-29.7,152.95,46.47,85,4,3.62,AU,1684435064
170,oliveira dos brejinhos,-12.3169,-42.8961,87.82,35,55,2.06,BR,1684435064
171,nemuro,43.3236,145.575,44.4,97,100,9.69,JP,1684435064
172,punta arenas,-53.15,-70.9167,42.91,70,40,27.63,CL,1684434846
173,villa gesell,-37.2639,-56.973,64.06,66,28,13.65,AR,1684435065
174,obolensk,54.9774,37.2245,58.14,87,92,6.85,RU,1684435066
175,derzhavinsk,51.1,66.3167,50.4,87,100,21.68,KZ,1684435066
176,calderitas,18.55,-88.25,89.71,58,40,9.22,MX,1684435067
177,port alfred,-33.5906,26.891,53.19,93,4,3.0,ZA,1684435067
178,villa canas,-34.0057,-61.6076,73.92,10,0,4.74,AR,1684435067
179,kingston,17.997,-76.7936,88.25,70,20,19.57,JM,1684434619
180,alofi,-19.0595,-169.9187,75.09,88,100,6.91,NU,1684435068
181,ust-tsilma,65.441,52.1498,65.5,45,14,11.01,RU,1684435069
182,arrecife,28.963,-13.5477,71.58,60,20,25.32,ES,1684435069
183,kailua-kona,19.6406,-155.9956,77.5,86,100,4.61,US,1684435069
184,chonchi,-42.6128,-73.8092,54.61,77,87,10.83,CL,1684435070
185,horta,38.5333,-28.6333,71.24,83,20,15.01,PT,1684435070
186,greenville,35.6127,-77.3663,75.36,36,0,11.5,US,1684434900
187,altayskoye,51.9533,85.3325,37.0,74,0,2.8,RU,1684435071
188,san lawrenz,36.0553,14.204,64.85,79,4,23.96,MT,1684435072
189,whangarei,-35.7317,174.3239,59.4,97,15,5.97,NZ,1684434973
190,saipan,15.1355,145.701,83.1,100,75,12.66,MP,1684434944
191,constantia,44.1833,28.65,65.08,79,0,12.68,RO,1684434905
192,bilibino,68.0546,166.4372,33.67,75,74,2.8,RU,1684435073
193,callao,-12.0667,-77.15,76.71,64,100,10.36,PE,1684435074
194,jinghong,21.991,100.7341,71.08,72,6,3.74,CN,1684435074
195,namibe,-15.1961,12.1522,69.82,68,100,11.88,AO,1684434933
196,villa rica,33.7321,-84.9191,75.61,91,99,1.99,US,1684435023
197,peace river,56.2501,-117.286,66.51,39,0,8.05,CA,1684434823
198,aykhal,66.0,111.5,23.54,97,100,4.83,RU,1684435076
199,vadso,70.0744,29.7487,40.08,65,20,0.0,NO,1684435076
200,rongelap,11.1635,166.8941,81.23,74,100,17.72,MH,1684435077
201,greymouth,-42.4667,171.2,50.02,90,100,10.36,NZ,1684435077
202,narok,-1.0783,35.8601,57.97,91,26,3.4,KE,1684435077
203,tarquinia,42.2482,11.7553,61.65,92,100,4.03,IT,1684435078
204,pisco,-13.7,-76.2167,75.25,64,100,9.22,PE,1684435078
205,hamilton,39.1834,-84.5333,76.08,42,0,5.75,US,1684435079
206,shiggaon,15.0,75.2333,82.26,45,62,10.67,IN,1684435079
207,val-des-monts,45.6501,-75.666,60.4,24,0,14.97,CA,1684435080
208,carutapera,-1.195,-46.02,81.54,82,100,5.3,BR,1684435080
209,karakecili,39.5942,33.3778,56.5,73,25,2.91,TR,1684435081
210,belmonte,-15.8631,-38.8828,76.33,72,100,12.08,BR,1684435081
211,beboto,8.2668,16.939,87.03,48,98,7.94,TD,1684435082
212,pechora,65.1472,57.2244,59.54,61,89,13.58,RU,1684435082
213,santa ana,33.7456,-117.8678,73.92,85,100,10.36,US,1684434943
214,korla,41.7597,86.1469,77.11,20,100,8.99,CN,1684435083
215,luderitz,-26.6481,15.1594,57.02,66,0,20.2,NA,1684435083
216,mount gambier,-37.8333,140.7667,48.34,89,56,2.08,AU,1684435084
217,murzuq,25.9155,13.9184,88.16,11,57,11.12,LY,1684435084
218,mount isa,-20.7333,139.5,53.37,50,2,8.05,AU,1684435085
219,jaumave,23.4167,-99.3833,88.95,38,36,5.79,MX,1684435085
220,geraldton,-28.7667,114.6,68.41,28,15,21.85,AU,1684435086
221,hasaki,35.7333,140.8333,72.21,76,100,20.2,JP,1684435086
222,thief river falls,48.1191,-96.1812,49.15,100,100,11.5,US,1684434854
223,pokrovskoye,47.4157,38.8971,63.88,62,73,11.7,RU,1684435087
224,floro,61.5996,5.0328,53.24,93,75,8.05,NO,1684435088
225,berezovo,63.9381,65.0419,57.96,48,19,12.71,RU,1684435088
226,lucea,18.451,-78.1736,85.86,71,25,2.42,JM,1684435089
227,pangody,65.85,74.4859,43.54,78,100,15.1,RU,1684435089
228,remire-montjoly,4.9167,-52.2667,80.64,83,75,13.8,GF,1684435089
229,flying fish cove,-10.4217,105.6791,76.68,94,75,10.36,CX,1684435090
230,bamboo flat,11.7,92.7167,80.69,83,20,2.3,IN,1684435090
231,zheleznogorsk-ilimskiy,56.5768,104.1217,34.43,98,100,8.28,RU,1684435091
232,melekhovo,56.2773,41.2935,63.93,56,95,2.28,RU,1684435091
233,al ghayzah,16.2079,52.176,86.54,74,0,9.78,YE,1684435092
234,newnham,-41.3833,147.1333,41.67,93,100,8.05,AU,1684435092
235,vanimo,-2.6741,141.3028,78.12,88,100,9.33,PG,1684435093
236,saint john,45.2727,-66.0677,52.83,30,20,6.91,CA,1684435093
237,sisimiut,66.9395,-53.6735,35.2,90,86,3.65,GL,1684435093
238,antsiranana,-12.2787,49.2917,73.76,85,5,8.39,MG,1684435094
239,wenling,28.3669,121.36,66.87,91,71,4.41,CN,1684435095
240,kapa'a,22.0752,-159.319,73.38,91,75,5.75,US,1684434832
241,king city,36.2127,-121.126,85.87,21,0,5.77,US,1684434911
242,santa vitoria do palmar,-33.5189,-53.3681,76.12,51,0,7.18,BR,1684435096
243,flin flon,54.7682,-101.865,53.44,30,0,12.66,CA,1684435097
244,milford haven,51.7128,-5.0341,58.66,84,100,8.23,GB,1684435097
245,crane,31.3974,-102.3501,86.09,29,99,5.77,US,1684435097
246,adrar,20.5022,-10.0711,87.08,15,32,12.77,MR,1684435098
247,kone,-21.0595,164.8658,69.15,69,100,5.86,NC,1684435099
248,puerto lempira,15.2667,-83.7667,91.54,62,40,13.8,HN,1684435100
249,mountain top,40.1068,-75.9527,66.65,45,5,4.61,US,1684435101
250,sen monorom,12.45,107.2,70.7,86,62,3.96,KH,1684435102
251,bangar,16.8936,120.4243,80.6,79,40,2.44,PH,1684435103
252,trairi,-3.2778,-39.2689,82.69,79,46,8.63,BR,1684434889
253,kumylzhenskaya,49.8809,42.5898,60.71,60,23,7.52,RU,1684435104
254,port lincoln,-34.7333,135.8667,57.38,71,98,6.49,AU,1684435104
255,pueblo,38.2545,-104.6091,71.62,54,75,8.05,US,1684435032
256,zhigalovo,54.8097,105.1578,34.0,83,100,4.21,RU,1684435106
257,fort bragg,35.139,-79.006,78.91,39,20,12.66,US,1684435106
258,eidson road,28.6772,-100.487,90.16,54,20,11.5,US,1684435106
259,bodaybo,57.8506,114.1933,35.22,93,100,3.33,RU,1684435107
260,fortuna,40.5982,-124.1573,57.65,95,100,3.44,US,1684434889
261,campbell river,50.0163,-125.2446,71.98,64,20,8.05,CA,1684435108
262,muroto-misakicho,33.2833,134.15,65.05,87,100,15.1,JP,1684435108
263,irara,-12.05,-38.7667,74.12,85,100,10.33,BR,1684435109
264,amahai,-3.3333,128.9167,86.09,76,100,6.31,ID,1684435109
265,balaka,-14.9793,34.9558,67.21,62,2,4.59,MW,1684435110
266,torbat-e jam,35.244,60.6225,68.97,30,0,7.43,IR,1684435110
